model,accuracy,precision,recall,f1_score,roc_auc,confusion_matrix
GradientBoosting,0.7433234421364985,0.689922480620155,0.6568265682656826,0.6729678638941399,0.8221274024154634,"[[323, 80], [93, 178]]"
RandomForest,0.7077151335311572,0.6412213740458015,0.6199261992619927,0.6303939962476548,0.8008799318762418,"[[309, 94], [103, 168]]"
LogisticRegression,0.6513353115727003,0.5375,0.9520295202952029,0.6870838881491345,0.7235860199793065,"[[181, 222], [13, 258]]"
SVM_RBF,0.6454005934718101,0.5318725099601593,0.985239852398524,0.6908150064683053,0.696624943916933,"[[168, 235], [4, 267]]"
